帧序,行为,情绪,专注度
1,read,fear,0.018144931197166442
2,read,sad,0.018453403115272524
3,read,sad,0.025033534169197087
4,read,neutral,0.27133779019109283
5,rise_hand,sad,0.023710332512855533
6,read,neutral,0.2975265479906217
7,read,angry,0.052612384557724004
8,read,sad,0.05267025947570801
9,read,fear,0.058003717660903925
10,read,fear,0.018144931197166442
11,read,sad,0.018453403115272524
12,read,sad,0.025033534169197087
13,read,neutral,0.27133779019109283
14,rise_hand,sad,0.023710332512855533
15,read,neutral,0.2975265479906217
16,read,angry,0.052612384557724004
17,read,sad,0.05267025947570801
18,read,fear,0.058003717660903925
